LEX_FUNC,KEYWORD,VALUE,KEYWORD_lemma,VALUE_lemma
Able1,afraid,cowardly,afraid,cowardly
Able1,angry,bad-tempered,angry,bad-tempered
Able1,angry,stroppy,angry,stroppy
Able1,angry,cantakerous,angry,cantakerous
Able1,angry,crabby,angry,crabby
Able1,angry,grouchy,angry,grouchy
Able1,angry,ill-tempered,angry,ill-tempered
Able1,ask,inquisitive,ask,inquisitive
Able1,believe,gullible,believe,gullible
Able1,cure,curative,cure,curative
Able1,cure,sanative,cure,sanative
Able1,destroy,destructive,destroy,destructive
Able1,fight,aggressive,fight,aggressive
Able1,fight,belligerent,fight,belligerent
Able1,fight,scrappy,fight,scrappy
Able1,forget,forgetful,forget,forgetful
Able1,frighten,scary,frighten,scary
Able1,lie,mendacious,lie,mendacious
Able1,obey,biddable,obey,biddable
Able1,persist,persistant,persist,persistant
Able1,question,V,question,V
Able1,rebellion,rebellious,rebellion,rebellious
Able1,talk,talkative,talk,talkative
Able1,terrify,terrible,terrify,terrible
Able1,trust,credulous,trust,credulous
Able1,trust,gullible,trust,gullible
Able1,trust,trusting,trust,trusting
Able1,vary,variable,vary,variable
Able1,vomit,nauseated,vomit,nauseated
Able1,vomit,queasy,vomit,queasy
Able1,war,bellicose,war,bellicose
AntiBon,_state of affairs_,_perfect storm_,_state of affairs_,_perfect storm_
AntiBon,actor,ham,actor,ham
AntiBon,advantage,undue,advantage,undue
AntiBon,aggression,brazen,aggression,brazen
AntiBon,aggression,naked,aggression,naked
AntiBon,aggression,brazen,aggression,brazen
AntiBon,aggression,naked,aggression,naked
AntiBon,aircraft,crate,aircraft,crate
AntiBon,appearance,haggard,appearance,haggard
AntiBon,assassinate,ruthlessly,assassinate,ruthlessly
AntiBon,atmosphere,evil,atmosphere,evil
AntiBon,attack,vicious,attack,vicious
AntiBon,attempt,lame,attempt,lame
AntiBon,bargain,improper,bargain,improper
AntiBon,bargain,inappropriate,bargain,inappropriate
AntiBon,beer,flat,beer,flat
AntiBon,beer,skunky,beer,skunky
AntiBon,behavior,disorderly,behavior,disorderly
AntiBon,behavior,unethical,behavior,unethical
AntiBon,behavior,unruly,behavior,unruly
AntiBon,boss,from hell,boss,from hell
AntiBon,boss,little Hitler,boss,little Hitler
AntiBon,boss,toxic,boss,toxic
AntiBon,building,_in disrepair_,building,_in disrepair_
AntiBon,building,ramshackle,building,ramshackle
AntiBon,building,rundown,building,rundown
AntiBon,building,tumbledown,building,tumbledown
AntiBon,butter,rancid,butter,rancid
AntiBon,car,clunker,car,clunker
AntiBon,car,jalopy,car,jalopy
AntiBon,car,lemon,car,lemon
AntiBon,career,checkered,career,checkered
AntiBon,character,disreputable,character,disreputable
AntiBon,character,bad,character,bad
AntiBon,cheeks,sunken,cheeks,sunken
AntiBon,climate,unforgiving,climate,unforgiving
AntiBon,clothes,rumpled,clothes,rumpled
AntiBon,clothes,shabby,clothes,shabby
AntiBon,color,gaudy,color,gaudy
AntiBon,color,harsh,color,harsh
AntiBon,color,loud,color,loud
AntiBon,comeback,stinging,comeback,stinging
AntiBon,company,bad,company,bad
AntiBon,condition,serious,condition,serious
AntiBon,conditions,grim,conditions,grim
AntiBon,conditions,squalid,conditions,squalid
AntiBon,country,basket case,country,basket case
AntiBon,crime,despicable,crime,despicable
AntiBon,crime,heinous,crime,heinous
AntiBon,crime,hideous,crime,hideous
AntiBon,crime,infamous,crime,infamous
AntiBon,crime,vicious,crime,vicious
AntiBon,data,flawed,data,flawed
AntiBon,day,dark,day,dark
AntiBon,deal,raw,deal,raw
AntiBon,deal,rotten,deal,rotten
AntiBon,deal,rough,deal,rough
AntiBon,debate,acrimonious,debate,acrimonious
AntiBon,defeat,ignominous,defeat,ignominous
AntiBon,defeat,shameful,defeat,shameful
AntiBon,description,dull,description,dull
AntiBon,dressed,_in tatters_,dressed,_in tatters_
AntiBon,dressed,poorly,dressed,poorly
AntiBon,dressed,ragtag,dressed,ragtag
AntiBon,driving,reckless,driving,reckless
AntiBon,dwelling,scruffy,dwelling,scruffy
AntiBon,dwelling,shabby,dwelling,shabby
AntiBon,eater,picky,eater,picky
AntiBon,effect,crippling,effect,crippling
AntiBon,effect,damning,effect,damning
AntiBon,egg,bad,egg,bad
AntiBon,error,egregious,error,egregious
AntiBon,example,poor,example,poor
AntiBon,experience,grim,experience,grim
AntiBon,experience,trying,experience,trying
AntiBon,fate,blind,fate,blind
AntiBon,fate,cruel,fate,cruel
AntiBon,feeling,uneasy,feeling,uneasy
AntiBon,fight,dirty,fight,dirty
AntiBon,fight,unfair,fight,unfair
AntiBon,fight,brawl,fight,brawl
AntiBon,fight,donnybrook,fight,donnybrook
AntiBon,fight,fray,fight,fray
AntiBon,fight,free-for-all,fight,free-for-all
AntiBon,figure,miserable,figure,miserable
AntiBon,flight,ignoble,flight,ignoble
AntiBon,future,bleak,future,bleak
AntiBon,future,dim,future,dim
AntiBon,future,dismal,future,dismal
AntiBon,future,grim,future,grim
AntiBon,go,badly,go,badly
AntiBon,goal,ghoulish,goal,ghoulish
AntiBon,grimace,hideous,grimace,hideous
AntiBon,grimace,horrible,grimace,horrible
AntiBon,grimace,ugly,grimace,ugly
AntiBon,habit,bad,habit,bad
AntiBon,habit,filthy,habit,filthy
AntiBon,horse,nag,horse,nag
AntiBon,hotel,_flea bag_,hotel,_flea bag_
AntiBon,hotel,seedy,hotel,seedy
AntiBon,hotel,sleazy,hotel,sleazy
AntiBon,hotel,third-rate,hotel,third-rate
AntiBon,house,crumbling,house,crumbling
AntiBon,house,dilapidated,house,dilapidated
AntiBon,house,ramshackle,house,ramshackle
AntiBon,house,shack,house,shack
AntiBon,house,shanty,house,shanty
AntiBon,impression,bad,impression,bad
AntiBon,informed,ill-,informed,ill-
AntiBon,interest,vested,interest,vested
AntiBon,jargon,bafflegab,jargon,bafflegab
AntiBon,joke,lame,joke,lame
AntiBon,killer,cold-blooded,killer,cold-blooded
AntiBon,light,dismal,light,dismal
AntiBon,lips,chapped,lips,chapped
AntiBon,lips,parched,lips,parched
AntiBon,loser,sore,loser,sore
AntiBon,luck,bad,luck,bad
AntiBon,luck,rotten,luck,rotten
AntiBon,lucre,filthy,lucre,filthy
AntiBon,meat,shoe-leather,meat,shoe-leather
AntiBon,money,lucre,money,lucre
AntiBon,mood,dark,mood,dark
AntiBon,mood,sour,mood,sour
AntiBon,motive,base,motive,base
AntiBon,motive,selfish,motive,selfish
AntiBon,murder,brutal,murder,brutal
AntiBon,murder,ruthlessly,murder,ruthlessly
AntiBon,newspaper,rag,newspaper,rag
AntiBon,option,poor,option,poor
AntiBon,painting,daub(N),painting,daub(N)
AntiBon,perform,_drop the ball_,perform,_drop the ball_
AntiBon,perform,poorly,perform,poorly
AntiBon,performance,lackluster,performance,lackluster
AntiBon,performance,poor,performance,poor
AntiBon,person,crumb,person,crumb
AntiBon,perspective,dim,perspective,dim
AntiBon,picture,grim,picture,grim
AntiBon,poet,poetaster,poet,poetaster
AntiBon,poet,rhymester,poet,rhymester
AntiBon,power,oppressive,power,oppressive
AntiBon,precedent,awful,precedent,awful
AntiBon,propaganda,crude,propaganda,crude
AntiBon,prospect,bleak,prospect,bleak
AntiBon,prospect,dim,prospect,dim
AntiBon,prospect,grim,prospect,grim
AntiBon,quality,poor,quality,poor
AntiBon,record,blemished,record,blemished
AntiBon,relation,strained,relation,strained
AntiBon,relations,bumpy,relations,bumpy
AntiBon,relations,poisoned,relations,poisoned
AntiBon,relations,strained,relations,strained
AntiBon,relationship,checkered,relationship,checkered
AntiBon,relationship,troubled,relationship,troubled
AntiBon,response,sluggish,response,sluggish
AntiBon,result,desastrous,result,desastrous
AntiBon,return,_like a bad penny_,return,_like a bad penny_
AntiBon,scenario,worst-case,scenario,worst-case
AntiBon,scholarship,sham,scholarship,sham
AntiBon,scholarship,shoddy,scholarship,shoddy
AntiBon,sea,heavy,sea,heavy
AntiBon,sea,choppy,sea,choppy
AntiBon,sea,rough,sea,rough
AntiBon,ship,(old) tub,ship,(old) tub
AntiBon,shock,nasty,shock,nasty
AntiBon,sign,ominous,sign,ominous
AntiBon,simple,pat,simple,pat
AntiBon,simple,simplistic,simple,simplistic
AntiBon,situation,compromising,situation,compromising
AntiBon,situation,dire,situation,dire
AntiBon,situation,serious,situation,serious
AntiBon,sky,dull,sky,dull
AntiBon,sky,grey,sky,grey
AntiBon,sky,overcast,sky,overcast
AntiBon,sky,sullen,sky,sullen
AntiBon,sleep,troubled,sleep,troubled
AntiBon,smell,bad,smell,bad
