LEX_FUNC,KEYWORD,VALUE,KEYWORD_lemma,VALUE_lemma
Magn,[le] moral,élevé,[le] moral,élevé
Oper1,_à la tête_,être,_à la tête_,être 
CausOper1,_à la tête_,placer,_à la tête_,placer 
CausOper1,_à la tête_,mettre,_à la tête_,mettre 
Magn,_au courant_,parfaitement,_au courant_,parfaitement
Magn,_avoir sommeil_,_tomber de sommeil_,_avoir sommeil_,_tomber de sommeil_
Oper1,_bain de foule_,s’offrir,_bain de foule_,s’offrir 
Oper1,_bain de foule_,prendre,_bain de foule_,prendre 
CausFunc0,_bain de sang_,provoquer,_bain de sang_,provoquer 
CausOper1,_bien à l’aise_,mettre,_bien à l’aise_,mettre 
Real1,_ceinture de sécurité_,attacher,_ceinture de sécurité_,attacher 
Func0,_coup d’État_,éclate,_coup d’État_,éclate
Func0,_coup d’État_,intervient,_coup d’État_,intervient
Oper1,_coup d’État_,déclencher,_coup d’État_,déclencher 
Oper1,_coup d’œil_,jeter,_coup d’œil_,jeter 
Oper2,_coup de feu_,essuyer,_coup de feu_,essuyer 
Func0,_coup de feu_,crépitent,_coup de feu_,crépitent
Oper1,_coup de feu_,tirer,_coup de feu_,tirer 
Func0,_coup de feu_,part,_coup de feu_,part
Func0,_coup de feu_,retentit,_coup de feu_,retentit
Oper1,_coup de fil_,donner,_coup de fil_,donner 
Oper1,_coup de fil_,passer,_coup de fil_,passer 
Oper1,_coup de main_,donner,_coup de main_,donner 
Oper1,_coup de poing_,envoyer,_coup de poing_,envoyer 
IncepOper1,_coup de soleil_,prendre,_coup de soleil_,prendre 
Oper1,_dans la semoule_,pédaler,_dans la semoule_,pédaler 
Oper1,_dans la semoule_,être,_dans la semoule_,être 
Oper1,_dans la semoule_,nager,_dans la semoule_,nager 
Oper1,_dans la semoule_,patauger,_dans la semoule_,patauger 
Real1,_date limite_,rencontrer,_date limite_,rencontrer
Oper1,_dernier hommage_,rendre,_dernier hommage_,rendre 
Oper1,_en fleur_,être,_en fleur_,être 
Oper1,_en forme_,être,_en forme_,être 
