LEX_FUNC,KEYWORD,VALUE,KEYWORD_lemma,VALUE_lemma
AntiMagn,acento,ligero,acento,ligero
AntiMagn,aceptación,condicional,aceptación,condicional
AntiMagn,aceptación,condicionada,aceptación,condicionada
AntiMagn,cuenta,general,cuenta,general
AntiMagn,ventaja,pequeña,ventaja,pequeña
AntiMagn,ventaja,ligera,ventaja,ligera
AntiMagn,edad,tierna,edad,tierna
AntiMagn,edad,temprana,edad,temprana
AntiMagn,aproximación,burda,aproximación,burda
AntiMagn,aproximación,primera,aproximación,primera
AntiMagn,argumento,débil,argumento,débil
AntiMagn,atención,poca,atención,poca
AntiMagn,atención,escasa,atención,escasa
AntiMagn,evitar,_por poco_,evitar,_por poco_
AntiMagn,equilibrio,delicado,equilibrio,delicado
AntiMagn,equilibrio,frágil,equilibrio,frágil
AntiMagn,base,frágil,base,frágil
AntiMagn,cerveza,suave,cerveza,suave
AntiMagn,_tensión arterial_,baja,_tensión arterial_,baja
AntiMagn,frontera,porosa,frontera,porosa
AntiMagn,posibilidad,pequeña,posibilidad,pequeña
AntiMagn,posibilidad,escasa,posibilidad,escasa
AntiMagn,carácter,débil,carácter,débil
AntiMagn,desvestido,medio,desvestido,medio
AntiMagn,capa,fina,capa,fina
AntiMagn,resfriado,leve,resfriado,leve
AntiMagn,color,opaco,color,opaco
AntiMagn,color,claro,color,claro
AntiMagn,color,suave,color,suave
AntiMagn,concentración,baja,concentración,baja
AntiMagn,condición,estable,condición,estable
AntiMagn,coste,bajo,coste,bajo
AntiMagn,delito,leve,delito,leve
AntiMagn,delito,leve,delito,leve
AntiMagn,daño,ligero,daño,ligero
AntiMagn,daño,menor,daño,menor
AntiMagn,daño,leve,daño,leve
AntiMagn,descenso,ligero,descenso,ligero
AntiMagn,descender,ligeramente,descender,ligeramente
AntiMagn,derrotar,_por poco_,derrotar,_por poco_
AntiMagn,grado,bajo,grado,bajo
AntiMagn,grado,menor,grado,menor
AntiMagn,distinto,ligeramente,distinto,ligeramente
AntiMagn,distancia,poca,distancia,poca
AntiMagn,dudar,_un poco_,dudar,_un poco_
AntiMagn,vestido,fino,vestido,fino
AntiMagn,error,insignificante,error,insignificante
AntiMagn,error,pequeño,error,pequeño
AntiMagn,evidencia,dudosa,evidencia,dudosa
AntiMagn,evidencia,insuficiente,evidencia,insuficiente
AntiMagn,flujo,lento,flujo,lento
AntiMagn,flujo,débil,flujo,débil
AntiMagn,niebla,aislada,niebla,aislada
AntiMagn,fragmento,pequeño,fragmento,pequeño
AntiMagn,futuro,inmediato,futuro,inmediato
AntiMagn,futuro,próximo,futuro,próximo
AntiMagn,brecha,estrecha,brecha,estrecha
AntiMagn,crecimiento,modesto,crecimiento,modesto
AntiMagn,crecimiento,lento,crecimiento,lento
AntiMagn,crecimiento,débil,crecimiento,débil
AntiMagn,_apretón de manos_,débil,_apretón de manos_,débil
AntiMagn,vacaciones,cortas,vacaciones,cortas
AntiMagn,esperanza,débil,esperanza,débil
AntiMagn,esperanza,frágil,esperanza,frágil
AntiMagn,esperanza,modesta,esperanza,modesta
AntiMagn,esperanza,leve,esperanza,leve
AntiMagn,inmunidad,parcial,inmunidad,parcial
AntiMagn,importancia,poca,importancia,poca
AntiMagn,importancia,menor,importancia,menor
AntiMagn,importancia,poca,importancia,poca
AntiMagn,inflamación,leve,inflamación,leve
AntiMagn,influencia,escasa,influencia,escasa
AntiMagn,herido,levemente,herido,levemente
AntiMagn,herida,leve,herida,leve
AntiMagn,herida,pequeña,herida,pequeña
AntiMagn,inspección,superficial,inspección,superficial
AntiMagn,inteligencia,limitada,inteligencia,limitada
AntiMagn,inversión,pequeña,inversión,pequeña
AntiMagn,risa,silenciosa,risa,silenciosa
AntiMagn,ventaja,pequeña,ventaja,pequeña
AntiMagn,nivel,bajo,nivel,bajo
AntiMagn,luz,tenue,luz,tenue
AntiMagn,luz,débil,luz,débil
AntiMagn,línea,fina,línea,fina
AntiMagn,sustento,mísero,sustento,mísero
AntiMagn,carga,ligera,carga,ligera
AntiMagn,mayoría,escasa,mayoría,escasa
AntiMagn,mayoría,ajustada,mayoría,ajustada
AntiMagn,mayoría,ligera,mayoría,ligera
AntiMagn,mayoría,parva,mayoría,parva
AntiMagn,mayoría,escasa,mayoría,escasa
AntiMagn,mayoría,pequeña,mayoría,pequeña
AntiMagn,margen,estrecho,margen,estrecho
AntiMagn,margen,estrecho,margen,estrecho
AntiMagn,fallar,_por poco_,fallar,_por poco_
AntiMagn,alcanzar,_por poco_,alcanzar,_por poco_
AntiMagn,impactar,_por poco_,impactar,_por poco_
AntiMagn,_darse cuenta_,_por poco_,_darse cuenta_,_por poco_
AntiMagn,perder,_por poco_,perder,_por poco_
AntiMagn,perderse,_por poco_,perderse,_por poco_
AntiMagn,error,simple,error,simple
AntiMagn,error,pequeño,error,pequeño
AntiMagn,malentendido,simple,malentendido,simple
AntiMagn,control,laxo,control,laxo
AntiMagn,número,pequeño,número,pequeño
AntiMagn,abierto,ligeramente,abierto,ligeramente
AntiMagn,abrir,ligeramente,abrir,ligeramente
AntiMagn,oposición,ligera,oposición,ligera
AntiMagn,salida,baja,salida,baja
AntiMagn,producción,baja,producción,baja
